Vendedor;Treinamento;Data;Cliente;Valor;Alunos;Instrutor;Conteúdo;Período;Total;Estado ;Avaliação Instrutor
Priscila;Access VBA;10/06/2016;Pessoa Jurídica;1020;9;Sérgio;Personalizado;Noite;9.180,00;São Paulo;5
Mirian;Word VBA;10/06/2016;Pessoa Jurídica;1340;10;Manuel;Regular;Integral;13.400,00;São Paulo;2
Murilo;Outlook;10/06/2016;Pessoa Física;1870;12;Joaquim;Regular;Madrugada;22.440,00;São Paulo;2
Roberto;Outlook VBA;10/06/2016;Pessoa Jurídica;1910;9;Paulo;Regular;Quinta-feira;17.190,00;São Paulo;5
Myslaine;PowerPoint;12/06/2016;Pessoa Física;2240;9;Leandro;Personalizado;Sexta-feira;20.160,00;São Paulo;5
Katia;PowerPoint VBA;12/06/2016;Pessoa Física;2479;9;José;Regular;Personalizado;22.311,00;São Paulo;5
Vanessa;Access;12/06/2016;Pessoa Física;3200;11;Caio ;Regular;Manhã;35.200,00;São Paulo;3
Renata;Windows;12/06/2016;Pessoa Jurídica;3921;9;Caio ;Regular;Tarde;35.289,00;São Paulo;3
Rodrigo;Excel Básico;14/06/2016;Pessoa Jurídica;780;8;Fernando;Personalizado;Noite;6.240,00;São Paulo;4
Priscila;Excel Intermediário;14/06/2016;Pessoa Jurídica;980;9;Fernando;Regular;Integral;8.820,00;São Paulo;3
Mirian;Excel Avançado;14/06/2016;Pessoa Física;1020;12;Ana;Regular;Madrugada;12.240,00;São Paulo;5
Murilo;Excel Dashboards;14/06/2016;Pessoa Jurídica;1340;11;Paulo;Regular;Sábado;14.740,00;São Paulo;3
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Física;1870;11;Sandra;Personalizado;Domingo;20.570,00;São Paulo;2
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Física;1910;10;Sandra;Regular;Personalizado;19.100,00;São Paulo;3
Katia;Access VBA;16/06/2016;Pessoa Física;2240;8;Humberto;Regular;Manhã;17.920,00;São Paulo;3
Vanessa;Word VBA;16/06/2016;Pessoa Jurídica;2479;12;Henrique;Regular;Tarde;29.748,00;São Paulo;2
Renata;Outlook;18/06/2016;Pessoa Jurídica;3200;9;Douglas;Personalizado;Noite;28.800,00;São Paulo;4
Rodrigo;Outlook VBA;18/06/2016;Pessoa Jurídica;3921;9;Jane;Regular;Integral;35.289,00;São Paulo;4
Priscila;PowerPoint;18/06/2016;Pessoa Física;780;10;Caio ;Regular;Madrugada;7.800,00;São Paulo;2
Mirian;PowerPoint VBA;18/06/2016;Pessoa Jurídica;980;10;Fernando;Regular;Segunda-feira;9.800,00;São Paulo;2
Murilo;Access;01/06/2016;Pessoa Física;1020;10;Roberto;Personalizado;Terça-feira;10.200,00;São Paulo;4
Roberto;Windows;01/06/2016;Pessoa Física;1340;11;Rosana;Regular;Personalizado;14.740,00;São Paulo;4
Myslaine;Excel Básico;01/06/2016;Pessoa Física;1870;10;Sandra;Regular;Manhã;18.700,00;São Paulo;3
Katia;Excel Intermediário;01/06/2016;Pessoa Jurídica;1910;10;Sérgio;Regular;Tarde;19.100,00;São Paulo;2
Vanessa;Excel Avançado;01/06/2016;Pessoa Jurídica;2240;8;Manuel;Personalizado;Noite;17.920,00;São Paulo;2
Renata;Excel Dashboards;01/06/2016;Pessoa Jurídica;2479;10;Joaquim;Regular;Integral;24.790,00;São Paulo;4
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Física;3200;10;Paulo;Regular;Madrugada;32.000,00;São Paulo;2
Priscila;Excel VBA avançado;02/06/2016;Pessoa Jurídica;3921;9;Leandro;Regular;Quarta-feira;35.289,00;São Paulo;3
Mirian;Access VBA;02/06/2016;Pessoa Física;780;10;José;Personalizado;Quinta-feira;7.800,00;São Paulo;4
Murilo;Word VBA;02/06/2016;Pessoa Física;980;8;Caio ;Regular;Personalizado;7.840,00;São Paulo;5
Roberto;Outlook;04/06/2016;Pessoa Física;1020;12;Caio ;Regular;Manhã;12.240,00;São Paulo;4
Myslaine;Outlook VBA;04/06/2016;Pessoa Jurídica;1340;12;Fernando;Regular;Tarde;16.080,00;São Paulo;5
Katia;PowerPoint;04/06/2016;Pessoa Jurídica;1870;8;Fernando;Personalizado;Noite;14.960,00;São Paulo;3
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1910;8;Ana;Regular;Integral;15.280,00;São Paulo;3
Renata;Access;06/06/2016;Pessoa Física;2240;8;Paulo;Regular;Madrugada;17.920,00;São Paulo;2
Rodrigo;Windows;06/06/2016;Pessoa Jurídica;2479;10;Sandra;Regular;Sexta-feira;24.790,00;São Paulo;5
Priscila;Excel Básico;06/06/2016;Pessoa Física;3200;11;Sandra;Personalizado;Sábado;35.200,00;São Paulo;3
Mirian;Excel Intermediário;06/06/2016;Pessoa Física;3921;12;Humberto;Regular;Personalizado;47.052,00;São Paulo;5
Murilo;Excel Avançado;08/06/2016;Pessoa Física;780;10;Henrique;Regular;Manhã;7.800,00;São Paulo;4
Roberto;Excel Dashboards;08/06/2016;Pessoa Jurídica;980;12;Douglas;Regular;Tarde;11.760,00;São Paulo;3
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Jurídica;1020;12;Jane;Personalizado;Noite;12.240,00;São Paulo;5
Katia;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1340;12;Caio ;Regular;Integral;16.080,00;São Paulo;4
Vanessa;Access VBA;10/06/2016;Pessoa Física;1870;9;Fernando;Regular;Madrugada;16.830,00;São Paulo;2
Renata;Word VBA;10/06/2016;Pessoa Jurídica;1910;12;Roberto;Regular;Domingo;22.920,00;São Paulo;2
Rodrigo;Outlook;10/06/2016;Pessoa Física;2240;8;Rosana;Personalizado;Segunda-feira;17.920,00;São Paulo;3
Priscila;Outlook VBA;10/06/2016;Pessoa Física;2479;12;Sandra;Regular;Personalizado;29.748,00;São Paulo;2
Mirian;PowerPoint;12/06/2016;Pessoa Física;3200;8;Sérgio;Regular;Manhã;25.600,00;São Paulo;4
Murilo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;3921;12;Manuel;Regular;Tarde;47.052,00;São Paulo;3
Roberto;Access;12/06/2016;Pessoa Jurídica;780;8;Joaquim;Personalizado;Noite;6.240,00;São Paulo;4
Myslaine;Windows;12/06/2016;Pessoa Jurídica;980;9;Paulo;Regular;Integral;8.820,00;São Paulo;4
Katia;Excel Básico;14/06/2016;Pessoa Física;1020;10;Leandro;Regular;Madrugada;10.200,00;São Paulo;4
Vanessa;Excel Intermediário;14/06/2016;Pessoa Jurídica;1340;11;José;Regular;Terça-feira;14.740,00;São Paulo;3
Renata;Excel Avançado;14/06/2016;Pessoa Física;1870;9;Caio ;Personalizado;Quarta-feira;16.830,00;São Paulo;4
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Física;1910;11;Caio ;Regular;Personalizado;21.010,00;São Paulo;5
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Física;2240;10;Fernando;Regular;Manhã;22.400,00;São Paulo;4
Mirian;Excel VBA avançado;16/06/2016;Pessoa Jurídica;2479;10;Fernando;Regular;Tarde;24.790,00;São Paulo;5
Murilo;Access VBA;16/06/2016;Pessoa Jurídica;3200;11;Ana;Personalizado;Noite;35.200,00;São Paulo;3
Roberto;Word VBA;16/06/2016;Pessoa Jurídica;3921;11;Paulo;Regular;Integral;43.131,00;São Paulo;2
Myslaine;Outlook;18/06/2016;Pessoa Física;780;8;Sandra;Regular;Madrugada;6.240,00;São Paulo;2
Katia;Outlook VBA;18/06/2016;Pessoa Jurídica;980;8;Sandra;Regular;Quinta-feira;7.840,00;São Paulo;2
Vanessa;PowerPoint;18/06/2016;Pessoa Física;1020;11;Humberto;Personalizado;Sexta-feira;11.220,00;São Paulo;5
Renata;PowerPoint VBA;18/06/2016;Pessoa Física;1340;10;Henrique;Regular;Personalizado;13.400,00;São Paulo;3
Rodrigo;Access;01/06/2016;Pessoa Física;1870;12;Douglas;Regular;Manhã;22.440,00;São Paulo;3
Priscila;Windows;01/06/2016;Pessoa Jurídica;1910;12;Jane;Regular;Tarde;22.920,00;São Paulo;4
Mirian;Excel Básico;01/06/2016;Pessoa Jurídica;2240;10;Caio ;Personalizado;Noite;22.400,00;São Paulo;5
Murilo;Excel Intermediário;01/06/2016;Pessoa Jurídica;2479;10;Fernando;Regular;Integral;24.790,00;São Paulo;4
Roberto;Excel Avançado;01/06/2016;Pessoa Física;3200;12;Roberto;Regular;Madrugada;38.400,00;São Paulo;5
Myslaine;Excel Dashboards;01/06/2016;Pessoa Jurídica;3921;9;Rosana;Regular;Sábado;35.289,00;São Paulo;2
Katia;Excel VBA iniciante;02/06/2016;Pessoa Física;780;9;Sandra;Personalizado;Domingo;7.020,00;São Paulo;5
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Física;980;11;Sérgio;Regular;Personalizado;10.780,00;São Paulo;5
Renata;Access VBA;02/06/2016;Pessoa Física;1020;12;Manuel;Regular;Manhã;12.240,00;São Paulo;5
Rodrigo;Word VBA;02/06/2016;Pessoa Jurídica;1340;8;Joaquim;Regular;Tarde;10.720,00;São Paulo;5
Priscila;Outlook;04/06/2016;Pessoa Jurídica;1870;12;Paulo;Personalizado;Noite;22.440,00;São Paulo;5
Mirian;Outlook VBA;04/06/2016;Pessoa Jurídica;1910;12;Leandro;Regular;Integral;22.920,00;São Paulo;2
Murilo;PowerPoint;04/06/2016;Pessoa Física;2240;9;José;Regular;Madrugada;20.160,00;São Paulo;2
Roberto;PowerPoint VBA;04/06/2016;Pessoa Jurídica;2479;12;Caio ;Regular;Segunda-feira;29.748,00;São Paulo;5
Myslaine;Access;06/06/2016;Pessoa Física;3200;9;Caio ;Personalizado;Terça-feira;28.800,00;São Paulo;2
Katia;Windows;06/06/2016;Pessoa Física;3921;10;Fernando;Regular;Personalizado;39.210,00;São Paulo;2
Vanessa;Excel Básico;06/06/2016;Pessoa Física;780;11;Fernando;Regular;Manhã;8.580,00;São Paulo;4
Renata;Excel Intermediário;06/06/2016;Pessoa Jurídica;980;9;Ana;Regular;Tarde;8.820,00;São Paulo;5
Rodrigo;Excel Avançado;08/06/2016;Pessoa Jurídica;1020;11;Paulo;Personalizado;Noite;11.220,00;São Paulo;5
Priscila;Excel Dashboards;08/06/2016;Pessoa Jurídica;1340;11;Sandra;Regular;Integral;14.740,00;São Paulo;3
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Física;1870;9;Sandra;Regular;Madrugada;16.830,00;São Paulo;4
Murilo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1910;12;Humberto;Regular;Quarta-feira;22.920,00;São Paulo;4
Roberto;Access VBA;10/06/2016;Pessoa Física;2240;9;Henrique;Personalizado;Quinta-feira;20.160,00;São Paulo;3
Myslaine;Word VBA;10/06/2016;Pessoa Física;2479;10;Douglas;Regular;Personalizado;24.790,00;São Paulo;4
Katia;Outlook;10/06/2016;Pessoa Física;3200;9;Jane;Regular;Manhã;28.800,00;São Paulo;2
Vanessa;Outlook VBA;10/06/2016;Pessoa Jurídica;3921;12;Caio ;Regular;Tarde;47.052,00;São Paulo;5
Renata;PowerPoint;12/06/2016;Pessoa Jurídica;780;8;Fernando;Personalizado;Noite;6.240,00;São Paulo;3
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;980;9;Roberto;Regular;Integral;8.820,00;São Paulo;4
Priscila;Access;12/06/2016;Pessoa Física;1020;12;Rosana;Regular;Madrugada;12.240,00;São Paulo;3
Mirian;Windows;12/06/2016;Pessoa Jurídica;1340;8;Sandra;Regular;Sexta-feira;10.720,00;São Paulo;3
Murilo;Excel Básico;14/06/2016;Pessoa Física;1870;12;Sérgio;Personalizado;Sábado;22.440,00;São Paulo;3
Roberto;Excel Intermediário;14/06/2016;Pessoa Física;1910;10;Manuel;Regular;Personalizado;19.100,00;São Paulo;3
Myslaine;Excel Avançado;14/06/2016;Pessoa Física;2240;8;Joaquim;Regular;Manhã;17.920,00;São Paulo;3
Katia;Excel Dashboards;14/06/2016;Pessoa Jurídica;2479;8;Paulo;Regular;Tarde;19.832,00;São Paulo;2
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Jurídica;3200;8;Leandro;Personalizado;Noite;25.600,00;São Paulo;4
Renata;Excel VBA avançado;16/06/2016;Pessoa Jurídica;3921;9;José;Regular;Integral;35.289,00;São Paulo;4
Rodrigo;Access VBA;16/06/2016;Pessoa Física;780;9;Caio ;Regular;Madrugada;7.020,00;São Paulo;2
Priscila;Word VBA;16/06/2016;Pessoa Jurídica;980;9;Caio ;Regular;Domingo;8.820,00;São Paulo;3
Mirian;Outlook;18/06/2016;Pessoa Física;1020;11;Fernando;Personalizado;Segunda-feira;11.220,00;São Paulo;3
Murilo;Outlook VBA;18/06/2016;Pessoa Física;1340;9;Fernando;Regular;Personalizado;12.060,00;São Paulo;5
Roberto;PowerPoint;18/06/2016;Pessoa Física;1870;12;Ana;Regular;Manhã;22.440,00;São Paulo;4
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Jurídica;1910;11;Paulo;Regular;Tarde;21.010,00;São Paulo;5
Katia;Access;01/06/2016;Pessoa Jurídica;2240;9;Sandra;Personalizado;Noite;20.160,00;São Paulo;5
Vanessa;Windows;01/06/2016;Pessoa Jurídica;2479;8;Sandra;Regular;Integral;19.832,00;São Paulo;5
Renata;Excel Básico;01/06/2016;Pessoa Física;3200;9;Humberto;Regular;Madrugada;28.800,00;São Paulo;3
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Jurídica;3921;10;Henrique;Regular;Terça-feira;39.210,00;São Paulo;2
Priscila;Excel Avançado;01/06/2016;Pessoa Física;780;8;Douglas;Personalizado;Quarta-feira;6.240,00;São Paulo;3
Mirian;Excel Dashboards;01/06/2016;Pessoa Física;980;12;Jane;Regular;Personalizado;11.760,00;São Paulo;2
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Física;1020;10;Caio ;Regular;Manhã;10.200,00;São Paulo;2
Roberto;Excel VBA avançado;02/06/2016;Pessoa Jurídica;1340;10;Fernando;Regular;Tarde;13.400,00;São Paulo;2
Myslaine;Access VBA;02/06/2016;Pessoa Jurídica;1870;12;Roberto;Personalizado;Noite;22.440,00;São Paulo;4
Katia;Word VBA;02/06/2016;Pessoa Jurídica;1910;9;Rosana;Regular;Integral;17.190,00;São Paulo;2
Vanessa;Outlook;04/06/2016;Pessoa Física;2240;10;Sandra;Regular;Madrugada;22.400,00;São Paulo;5
Renata;Outlook VBA;04/06/2016;Pessoa Jurídica;2479;11;Sérgio;Regular;Quinta-feira;27.269,00;São Paulo;2
Rodrigo;PowerPoint;04/06/2016;Pessoa Física;3200;9;Manuel;Personalizado;Sexta-feira;28.800,00;São Paulo;3
Priscila;PowerPoint VBA;04/06/2016;Pessoa Física;3921;11;Joaquim;Regular;Personalizado;43.131,00;São Paulo;4
Mirian;Access;06/06/2016;Pessoa Física;780;9;Paulo;Regular;Manhã;7.020,00;São Paulo;5
Murilo;Windows;06/06/2016;Pessoa Jurídica;980;12;Leandro;Regular;Tarde;11.760,00;São Paulo;4
Roberto;Excel Básico;06/06/2016;Pessoa Jurídica;1020;12;José;Personalizado;Noite;12.240,00;São Paulo;4
Myslaine;Excel Intermediário;06/06/2016;Pessoa Jurídica;1340;12;Caio ;Regular;Integral;16.080,00;São Paulo;4
Katia;Excel Avançado;08/06/2016;Pessoa Física;1870;12;Caio ;Regular;Madrugada;22.440,00;São Paulo;4
Vanessa;Excel Dashboards;08/06/2016;Pessoa Jurídica;1910;10;Fernando;Regular;Sábado;19.100,00;São Paulo;2
Renata;Excel VBA iniciante;08/06/2016;Pessoa Física;2240;10;Fernando;Personalizado;Domingo;22.400,00;São Paulo;5
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Física;2479;12;Ana;Regular;Personalizado;29.748,00;São Paulo;3
Priscila;Access VBA;10/06/2016;Pessoa Física;3200;12;Paulo;Regular;Manhã;38.400,00;São Paulo;4
Mirian;Word VBA;10/06/2016;Pessoa Jurídica;3921;9;Sandra;Regular;Tarde;35.289,00;São Paulo;4
Murilo;Outlook;10/06/2016;Pessoa Jurídica;780;9;Sandra;Personalizado;Noite;7.020,00;São Paulo;2
Roberto;Outlook VBA;10/06/2016;Pessoa Jurídica;980;10;Humberto;Regular;Integral;9.800,00;São Paulo;3
Myslaine;PowerPoint;12/06/2016;Pessoa Física;1020;8;Henrique;Regular;Madrugada;8.160,00;São Paulo;5
Katia;PowerPoint VBA;12/06/2016;Pessoa Jurídica;1340;9;Douglas;Regular;Segunda-feira;12.060,00;São Paulo;4
Vanessa;Access;12/06/2016;Pessoa Física;1870;12;Jane;Personalizado;Terça-feira;22.440,00;São Paulo;4
Renata;Windows;12/06/2016;Pessoa Física;1910;9;Caio ;Regular;Personalizado;17.190,00;São Paulo;2
Rodrigo;Excel Básico;14/06/2016;Pessoa Física;2240;12;Fernando;Regular;Manhã;26.880,00;São Paulo;4
Priscila;Excel Intermediário;14/06/2016;Pessoa Jurídica;2479;11;Roberto;Regular;Tarde;27.269,00;São Paulo;3
Mirian;Excel Avançado;14/06/2016;Pessoa Jurídica;3200;12;Rosana;Personalizado;Noite;38.400,00;São Paulo;5
Murilo;Excel Dashboards;14/06/2016;Pessoa Jurídica;3921;9;Sandra;Regular;Integral;35.289,00;São Paulo;2
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Física;780;11;Sérgio;Regular;Madrugada;8.580,00;São Paulo;3
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Jurídica;980;8;Manuel;Regular;Quarta-feira;7.840,00;São Paulo;4
Katia;Access VBA;16/06/2016;Pessoa Física;1020;12;Joaquim;Personalizado;Quinta-feira;12.240,00;São Paulo;2
Vanessa;Word VBA;16/06/2016;Pessoa Física;1340;12;Paulo;Regular;Personalizado;16.080,00;São Paulo;5
Renata;Outlook;18/06/2016;Pessoa Física;1870;11;Leandro;Regular;Manhã;20.570,00;São Paulo;2
Rodrigo;Outlook VBA;18/06/2016;Pessoa Jurídica;1910;12;José;Regular;Tarde;22.920,00;São Paulo;3
Priscila;PowerPoint;18/06/2016;Pessoa Jurídica;2240;11;Caio ;Personalizado;Noite;24.640,00;São Paulo;4
Mirian;PowerPoint VBA;18/06/2016;Pessoa Jurídica;2479;9;Caio ;Regular;Integral;22.311,00;São Paulo;3
Murilo;Access;01/06/2016;Pessoa Física;3200;9;Fernando;Regular;Madrugada;28.800,00;São Paulo;3
Roberto;Windows;01/06/2016;Pessoa Jurídica;3921;10;Fernando;Regular;Sexta-feira;39.210,00;São Paulo;4
Myslaine;Excel Básico;01/06/2016;Pessoa Física;780;11;Ana;Personalizado;Sábado;8.580,00;São Paulo;5
Katia;Excel Intermediário;01/06/2016;Pessoa Física;980;10;Paulo;Regular;Personalizado;9.800,00;São Paulo;4
Vanessa;Excel Avançado;01/06/2016;Pessoa Física;1020;8;Sandra;Regular;Manhã;8.160,00;São Paulo;5
Renata;Excel Dashboards;01/06/2016;Pessoa Jurídica;1340;11;Sandra;Regular;Tarde;14.740,00;São Paulo;5
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Jurídica;1870;12;Humberto;Personalizado;Noite;22.440,00;São Paulo;5
Priscila;Excel VBA avançado;02/06/2016;Pessoa Jurídica;1910;11;Henrique;Regular;Integral;21.010,00;São Paulo;4
Mirian;Access VBA;02/06/2016;Pessoa Física;2240;10;Douglas;Regular;Madrugada;22.400,00;São Paulo;2
Murilo;Word VBA;02/06/2016;Pessoa Jurídica;2479;11;Jane;Regular;Domingo;27.269,00;São Paulo;4
Roberto;Outlook;04/06/2016;Pessoa Física;3200;8;Caio ;Personalizado;Segunda-feira;25.600,00;São Paulo;2
Myslaine;Outlook VBA;04/06/2016;Pessoa Física;3921;12;Fernando;Regular;Personalizado;47.052,00;São Paulo;4
Katia;PowerPoint;04/06/2016;Pessoa Física;780;10;Roberto;Regular;Manhã;7.800,00;São Paulo;4
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Jurídica;980;10;Rosana;Regular;Tarde;9.800,00;São Paulo;3
Renata;Access;06/06/2016;Pessoa Jurídica;1020;11;Sandra;Personalizado;Noite;11.220,00;São Paulo;5
Rodrigo;Windows;06/06/2016;Pessoa Jurídica;1340;9;Sérgio;Regular;Integral;12.060,00;São Paulo;4
Priscila;Excel Básico;06/06/2016;Pessoa Física;1870;8;Manuel;Regular;Madrugada;14.960,00;São Paulo;3
Mirian;Excel Intermediário;06/06/2016;Pessoa Jurídica;1910;8;Joaquim;Regular;Terça-feira;15.280,00;São Paulo;4
Murilo;Excel Avançado;08/06/2016;Pessoa Física;2240;12;Paulo;Personalizado;Quarta-feira;26.880,00;São Paulo;4
Roberto;Excel Dashboards;08/06/2016;Pessoa Física;2479;12;Leandro;Regular;Personalizado;29.748,00;São Paulo;4
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Física;3200;8;José;Regular;Manhã;25.600,00;São Paulo;4
Katia;Excel VBA avançado;08/06/2016;Pessoa Jurídica;3921;11;Caio ;Regular;Tarde;43.131,00;São Paulo;3
Vanessa;Access VBA;10/06/2016;Pessoa Jurídica;780;8;Caio ;Personalizado;Noite;6.240,00;São Paulo;2
Renata;Word VBA;10/06/2016;Pessoa Jurídica;980;8;Fernando;Regular;Integral;7.840,00;São Paulo;4
Rodrigo;Outlook;10/06/2016;Pessoa Física;1020;11;Fernando;Regular;Madrugada;11.220,00;São Paulo;3
Priscila;Outlook VBA;10/06/2016;Pessoa Jurídica;1340;8;Ana;Regular;Quinta-feira;10.720,00;São Paulo;5
Mirian;PowerPoint;12/06/2016;Pessoa Física;1870;12;Paulo;Personalizado;Sexta-feira;22.440,00;São Paulo;5
Murilo;PowerPoint VBA;12/06/2016;Pessoa Física;1910;10;Sandra;Regular;Personalizado;19.100,00;São Paulo;4
Roberto;Access;12/06/2016;Pessoa Física;2240;12;Sandra;Regular;Manhã;26.880,00;São Paulo;3
Myslaine;Windows;12/06/2016;Pessoa Jurídica;2479;10;Humberto;Regular;Tarde;24.790,00;São Paulo;2
Katia;Excel Básico;14/06/2016;Pessoa Jurídica;3200;8;Henrique;Personalizado;Noite;25.600,00;São Paulo;5
Vanessa;Excel Intermediário;14/06/2016;Pessoa Jurídica;3921;10;Douglas;Regular;Integral;39.210,00;São Paulo;4
Renata;Excel Avançado;14/06/2016;Pessoa Física;780;11;Jane;Regular;Madrugada;8.580,00;São Paulo;3
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Jurídica;980;10;Caio ;Regular;Sábado;9.800,00;São Paulo;5
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Física;1020;10;Fernando;Personalizado;Domingo;10.200,00;São Paulo;5
Mirian;Excel VBA avançado;16/06/2016;Pessoa Física;1340;10;Roberto;Regular;Personalizado;13.400,00;São Paulo;5
Murilo;Access VBA;16/06/2016;Pessoa Física;1870;11;Rosana;Regular;Manhã;20.570,00;São Paulo;2
Roberto;Word VBA;16/06/2016;Pessoa Jurídica;1910;8;Sandra;Regular;Tarde;15.280,00;São Paulo;4
Myslaine;Outlook;18/06/2016;Pessoa Jurídica;2240;11;Sérgio;Personalizado;Noite;24.640,00;São Paulo;2
Katia;Outlook VBA;18/06/2016;Pessoa Jurídica;2479;8;Manuel;Regular;Integral;19.832,00;São Paulo;4
Vanessa;PowerPoint;18/06/2016;Pessoa Física;3200;9;Joaquim;Regular;Madrugada;28.800,00;São Paulo;5
Renata;PowerPoint VBA;18/06/2016;Pessoa Jurídica;3921;10;Paulo;Regular;Segunda-feira;39.210,00;São Paulo;4
Rodrigo;Access;01/06/2016;Pessoa Física;780;8;Leandro;Personalizado;Terça-feira;6.240,00;São Paulo;5
Priscila;Windows;01/06/2016;Pessoa Física;980;12;José;Regular;Personalizado;11.760,00;São Paulo;5
Mirian;Excel Básico;01/06/2016;Pessoa Física;1020;12;Caio ;Regular;Manhã;12.240,00;São Paulo;3
Murilo;Excel Intermediário;01/06/2016;Pessoa Jurídica;1340;9;Caio ;Regular;Tarde;12.060,00;São Paulo;2
Roberto;Excel Avançado;01/06/2016;Pessoa Jurídica;1870;10;Fernando;Personalizado;Noite;18.700,00;São Paulo;2
Myslaine;Excel Dashboards;01/06/2016;Pessoa Jurídica;1910;11;Fernando;Regular;Integral;21.010,00;São Paulo;4
Katia;Excel VBA iniciante;02/06/2016;Pessoa Física;2240;11;Ana;Regular;Madrugada;24.640,00;São Paulo;3
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Jurídica;2479;12;Paulo;Regular;Quarta-feira;29.748,00;São Paulo;2
Renata;Access VBA;02/06/2016;Pessoa Física;3200;10;Sandra;Personalizado;Quinta-feira;32.000,00;São Paulo;5
Rodrigo;Word VBA;02/06/2016;Pessoa Física;3921;9;Sandra;Regular;Personalizado;35.289,00;São Paulo;3
Priscila;Outlook;04/06/2016;Pessoa Física;780;9;Humberto;Regular;Manhã;7.020,00;São Paulo;3
Mirian;Outlook VBA;04/06/2016;Pessoa Jurídica;980;12;Henrique;Regular;Tarde;11.760,00;São Paulo;3
Murilo;PowerPoint;04/06/2016;Pessoa Jurídica;1020;11;Douglas;Personalizado;Noite;11.220,00;São Paulo;5
Roberto;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1340;8;Jane;Regular;Integral;10.720,00;São Paulo;5
Myslaine;Access;06/06/2016;Pessoa Física;1870;9;Caio ;Regular;Madrugada;16.830,00;São Paulo;5
Katia;Windows;06/06/2016;Pessoa Jurídica;1910;8;Fernando;Regular;Sexta-feira;15.280,00;São Paulo;5
Vanessa;Excel Básico;06/06/2016;Pessoa Física;2240;8;Roberto;Personalizado;Sábado;17.920,00;São Paulo;4
Renata;Excel Intermediário;06/06/2016;Pessoa Física;2479;9;Rosana;Regular;Personalizado;22.311,00;São Paulo;3
Rodrigo;Excel Avançado;08/06/2016;Pessoa Física;3200;9;Sandra;Regular;Manhã;28.800,00;São Paulo;4
Priscila;Excel Dashboards;08/06/2016;Pessoa Jurídica;3921;10;Sérgio;Regular;Tarde;39.210,00;São Paulo;5
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Jurídica;780;12;Manuel;Personalizado;Noite;9.360,00;São Paulo;2
Murilo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;980;11;Joaquim;Regular;Integral;10.780,00;São Paulo;2
Roberto;Access VBA;10/06/2016;Pessoa Física;1020;11;Paulo;Regular;Madrugada;11.220,00;São Paulo;3
Myslaine;Word VBA;10/06/2016;Pessoa Jurídica;1340;9;Leandro;Regular;Domingo;12.060,00;São Paulo;2
Katia;Outlook;10/06/2016;Pessoa Física;1870;9;José;Personalizado;Segunda-feira;16.830,00;São Paulo;5
Vanessa;Outlook VBA;10/06/2016;Pessoa Física;1910;10;Caio ;Regular;Personalizado;19.100,00;São Paulo;4
Renata;PowerPoint;12/06/2016;Pessoa Física;2240;8;Caio ;Regular;Manhã;17.920,00;São Paulo;2
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;2479;9;Fernando;Regular;Tarde;22.311,00;São Paulo;2
Priscila;Access;12/06/2016;Pessoa Jurídica;3200;11;Fernando;Personalizado;Noite;35.200,00;São Paulo;3
Mirian;Windows;12/06/2016;Pessoa Jurídica;3921;11;Ana;Regular;Integral;43.131,00;São Paulo;5
Murilo;Excel Básico;14/06/2016;Pessoa Física;780;10;Paulo;Regular;Madrugada;7.800,00;São Paulo;3
Roberto;Excel Intermediário;14/06/2016;Pessoa Jurídica;980;12;Sandra;Regular;Terça-feira;11.760,00;São Paulo;3
Myslaine;Excel Avançado;14/06/2016;Pessoa Física;1020;8;Sandra;Personalizado;Quarta-feira;8.160,00;São Paulo;3
Katia;Excel Dashboards;14/06/2016;Pessoa Física;1340;8;Humberto;Regular;Personalizado;10.720,00;São Paulo;4
